rejection_ground,outcome
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Application returned stating fee payment mode was incorrect or invalid.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
"Rejected on grounds of seeking opinions, hypothetical questions rather than records.",DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
Application rejected as information requested is commercial confidence under Section 8(1)(d).,PARTIALLY_ALLOWED
Rejected citing exempt organization status under Section 24 of the RTI Act.,DISMISSED_UPHELD
Denied claiming disclosure would prejudicially affect sovereignty and security of India.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Improper transfer under Section 6(3) asking applicant to file multiple RTIs.,OVERTURNED_ALLOWED
PIO stated information is not available in official records and cannot be created.,PARTIALLY_ALLOWED
Information held in fiduciary relationship under Section 8(1)(e).,DISMISSED_UPHELD
Demanding exorbitant fees for compilation.,OVERTURNED_ALLOWED
Information denied under Section 8(1)(j) citing personal privacy of third party.,DISMISSED_UPHELD
